,company_name,product_line,image_link,colour,hexa_code,sleeve type_value,sleeve type_confidance,pattern type_value,pattern type_confidance,pattern_value,pattern_confidance,sleeve length_value,sleeve length_confidance,neck_value,neck_confidance,tops length_value,tops length_confidance
41,ebay,women_tops,https://i.ebayimg.com/images/g/QzEAAOSwEVZaXvGG/s-l300.jpg,,,no sleeves,0.393,geometrical print,0.73784,printed,0.540719,no sleeves,0.841454,,0.335225,regular,0.541285
42,ebay,women_tops,https://i.ebayimg.com/images/g/6gEAAOSwnMBaXwFf/s-l300.jpg,,,,0.456386,geometrical print,0.981367,printed,0.429161,,0.551677,shirt collar,0.746428,regular,0.808014
43,ebay,women_tops,https://i.ebayimg.com/images/g/Ja8AAOSwu0hZcuFv/s-l300.jpg,,,cuffed sleeves,0.589459,solid,0.634689,solid,0.974261,long sleeve,0.861551,,0.498078,regular,0.551471
44,ebay,women_tops,https://i.ebayimg.com/images/g/pEsAAOSwPpZaRySO/s-l300.jpg,,,no sleeves,0.638181,,0.391258,printed,0.706983,no sleeves,0.9899,,0.48553,regular,0.681123
45,ebay,women_tops,https://i.ebayimg.com/images/g/v0wAAOSwdrhZpufi/s-l300.jpg,,,cap sleeve,0.762685,checked,0.762801,checked,0.992501,short sleeve,0.985453,,0.37645,regular,0.565421
46,ebay,women_tops,https://i.ebayimg.com/images/g/WmYAAOSwidlZZgA4/s-l300.jpg,,,no sleeves,0.954895,tie and dye,0.952367,printed,0.673528,no sleeves,0.999855,shoulder straps,0.844089,regular,0.830882
47,ebay,women_tops,https://i.ebayimg.com/images/g/QRMAAOSwaGFZcuJW/s-l300.jpg,,,cuffed sleeves,0.547974,solid,0.370723,solid,0.750536,long sleeve,0.89898,,0.383427,regular,0.916925
48,ebay,women_tops,https://i.ebayimg.com/images/g/5KMAAOSw-ldZZ2kP/s-l300.jpg,,,,0.388553,solid,0.74104,solid,0.620024,long sleeve,0.884516,high neck,0.872647,regular,0.411458
49,ebay,women_tops,https://i.ebayimg.com/images/g/2DwAAOSwRMtZZLPF/s-l300.jpg,,,,0.472944,embellishments,0.997818,embellishments,0.960855,long sleeve,0.974568,,0.412114,regular,0.594058
50,ebay,women_tops,https://i.ebayimg.com/images/g/ECMAAOSwuxFYzR6J/s-l300.jpg,,,puff sleeve,0.996012,embroidered,0.943809,embroidered,0.965729,short sleeve,0.913137,,0.281138,regular,0.536225
51,ebay,women_tops,https://i.ebayimg.com/images/g/O5sAAOSwzgBYzR2p/s-l300.jpg,,,butterfly sleeve,0.971401,embroidered,0.899115,embroidered,0.991249,short sleeve,0.765539,,0.258014,regular,0.643407
