,company_name,product_line,image_link,colour,hexa_code,sleeve_type_value,sleeve_type_confidance,pattern_type_value,pattern_type_confidance,pattern_value,pattern_confidance,sleeve_value,sleeve_confidance,neck_value,neck_confidance,tops_length_value,tops_length_confidance,professional_look_value,professional_look_confidance
41,ebay,women_tops,https://i.ebayimg.com/images/g/T1MAAOSwPpZaRiVT/s-l600.jpg,,,,0.472223,solid,0.406307,solid,0.525649,short sleeve,0.67971,,0.271644,longline,0.772718,no,0.689764
42,ebay,women_tops,https://i.ebayimg.com/images/g/IvIAAOSwo4pYMCcK/s-l600.jpg,,,cap sleeve,0.994826,,0.518857,printed,0.996587,short sleeve,0.999943,,0.430753,longline,0.954991,no,0.929812
43,ebay,women_tops,https://i.ebayimg.com/images/g/EasAAOSwFb5aRi7T/s-l600.jpg,,,,0.440888,,0.500236,,0.420548,long sleeve,0.99905,,0.425386,regular,0.735882,no,0.734147
44,ebay,women_tops,https://i.ebayimg.com/images/g/EdkAAOSw6VRaRi7R/s-l600.jpg,,,roll-up sleeves,0.855046,solid,0.658763,solid,0.984334,three-quarter sleeve,0.990428,round neck,0.505725,regular,0.87243,no,0.616226
45,ebay,women_tops,https://i.ebayimg.com/images/g/f1kAAOSwB09YMCbp/s-l600.jpg,,,regular sleeve,0.742743,self design,0.817341,self design,0.993315,three-quarter sleeve,0.734205,,0.272834,regular,0.576733,no,0.796471
46,ebay,women_tops,https://i.ebayimg.com/images/g/4T4AAOSw8UZaRi7R/s-l600.jpg,,,roll-up sleeves,0.974209,solid,0.435545,solid,0.961807,long sleeve,0.976662,,0.30384,regular,0.733301,no,0.515603
47,ebay,women_tops,https://i.ebayimg.com/images/g/-FoAAOSw-K9ZIqTz/s-l600.jpg,,,,0.415204,solid,0.8539,solid,0.85911,long sleeve,0.961122,,0.247358,regular,0.855766,no,0.781358
48,ebay,women_tops,https://i.ebayimg.com/images/g/nWsAAOSwal5YMBXf/s-l600.jpg,,,cuffed sleeves,0.958589,abstract,0.910791,printed,0.98204,long sleeve,0.988904,mandarin collar,0.666642,longline,0.967074,no,0.608293
49,ebay,women_tops,https://i.ebayimg.com/images/g/sfQAAOSwjodaRiVY/s-l600.jpg,,,roll-up sleeves,0.80484,floral,0.946205,printed,0.706103,three-quarter sleeve,0.831747,,0.274337,longline,0.861446,no,0.861159
50,ebay,women_tops,https://i.ebayimg.com/images/g/HEwAAOSwHMJYMBXV/s-l600.jpg,,,flared sleeve,0.987282,solid,0.288568,solid,0.918681,short sleeve,0.986302,,0.318575,regular,0.949579,no,0.77767
51,ebay,women_tops,https://i.ebayimg.com/images/g/D5IAAOSwY~1aRi7V/s-l600.jpg,,,roll-up sleeves,0.749717,solid,0.266928,solid,0.856,long sleeve,0.999445,,0.248537,regular,0.453625,no,0.702389
52,ebay,women_tops,https://i.ebayimg.com/images/g/2C0AAOSwtJZXXpUP/s-l600.jpg,,,no sleeves,0.851288,solid,0.234064,solid,0.97863,no sleeves,0.925286,round neck,0.516136,regular,0.702693,no,0.767987
53,ebay,women_tops,https://i.ebayimg.com/images/g/2IEAAOSwXeJYMBXb/s-l600.jpg,,,no sleeves,0.990332,solid,0.628385,solid,0.926452,no sleeves,0.998832,round neck,0.563842,regular,0.85971,no,0.818503
54,ebay,women_tops,https://i.ebayimg.com/images/g/Bp0AAOSwcUBYMCbz/s-l600.jpg,,,,0.407813,solid,0.274516,solid,0.738784,short sleeve,0.981502,,0.271621,longline,0.775102,no,0.780127
55,ebay,women_tops,https://i.ebayimg.com/images/g/64YAAOSw0exaRi7P/s-l600.jpg,,,roll-up sleeves,0.545048,solid,0.590725,solid,0.79605,three-quarter sleeve,0.83751,,0.231837,regular,0.652783,no,0.666674
56,ebay,women_tops,https://i.ebayimg.com/images/g/29EAAOSwjqVZIqTu/s-l600.jpg,,,no sleeves,0.999303,,0.251166,printed,0.977669,no sleeves,0.999969,,0.406147,regular,0.86893,no,0.899019
57,ebay,women_tops,https://i.ebayimg.com/images/g/es4AAOSwaEhZIqTq/s-l600.jpg,,,,0.483516,solid,0.604633,solid,0.990819,long sleeve,0.997709,,0.648252,regular,0.751097,no,0.812581
58,ebay,women_tops,https://i.ebayimg.com/images/g/aAkAAOSwPh5ZIqTg/s-l600.jpg,,,cuffed sleeves,0.978529,solid,0.854835,solid,0.998275,long sleeve,0.999719,shirt collar,0.880567,regular,0.530792,no,0.745926
59,ebay,women_tops,https://i.ebayimg.com/images/g/~i0AAOSwGzhaRi7S/s-l600.jpg,,,,0.412083,solid,0.476736,solid,0.626097,long sleeve,0.998677,keyhole neck,0.716593,regular,0.889541,no,0.523605
60,ebay,women_tops,https://i.ebayimg.com/images/g/tiEAAOSw42dZIqTn/s-l600.jpg,,,cap sleeve,0.983602,floral,0.951351,printed,0.999061,short sleeve,0.999953,,0.246311,longline,0.898175,no,0.880385
61,ebay,women_tops,https://i.ebayimg.com/images/g/lHEAAOSwn-tZIqRm/s-l600.jpg,,,no sleeves,0.998387,solid,0.991437,solid,0.550013,no sleeves,0.999989,,0.311843,longline,0.914096,no,0.934626
62,ebay,women_tops,https://i.ebayimg.com/images/g/5ZIAAOSwZlZaRi7V/s-l600.jpg,,,bishop sleeves,0.954147,solid,0.285324,solid,0.522346,long sleeve,0.842024,round neck,0.507754,regular,0.788539,no,0.741863
63,ebay,women_tops,https://i.ebayimg.com/images/g/RaIAAOSwux5YMBXz/s-l600.jpg,,,cap sleeve,0.869732,floral,0.977184,printed,0.998112,short sleeve,0.999349,round neck,0.829691,regular,0.804398,no,0.954181
64,ebay,women_tops,https://i.ebayimg.com/images/g/bWcAAOSwcLxYMBXX/s-l600.jpg,,,no sleeves,0.954188,solid,0.795022,solid,0.566083,no sleeves,0.999771,shoulder straps,0.647277,regular,0.804692,no,0.9041
65,ebay,women_tops,https://i.ebayimg.com/images/g/P0wAAOSw63FaRi7V/s-l600.jpg,,,no sleeves,0.919393,solid,0.366901,solid,0.948053,no sleeves,0.999972,,0.50636,regular,0.843424,no,0.886832
66,ebay,women_tops,https://i.ebayimg.com/images/g/YI8AAOSwnCFaRi7i/s-l600.jpg,,,roll-up sleeves,0.872324,checked,0.661436,checked,0.91026,long sleeve,0.996662,,0.371746,longline,0.947153,no,0.653255
67,ebay,women_tops,https://i.ebayimg.com/images/g/KqkAAOSwsYpaRi7R/s-l600.jpg,,,,0.438407,checked,0.975472,checked,0.998495,long sleeve,0.986541,mandarin collar,0.809061,longline,0.950204,no,0.664377
